time,open,close,high,low
2021-08-05 07:00:00+00:00,147.06,147.05,147.06,146.79
2021-08-05 08:00:00+00:00,147.0,146.9,147.06,146.77
2021-08-05 09:00:00+00:00,146.9,147.03,147.03,146.86
2021-08-05 10:00:00+00:00,147.02,146.99,147.06,146.91
2021-08-05 11:00:00+00:00,147.0,147.2,147.25,147.0
2021-08-05 12:00:00+00:00,147.2,147.21,147.43,147.13
2021-08-05 13:00:00+00:00,147.19,147.05,147.23,146.16
2021-08-05 14:00:00+00:00,147.06,147.48,147.58,146.8
2021-08-05 15:00:00+00:00,147.5,147.46,147.84,147.3
2021-08-05 16:00:00+00:00,147.47,147.25,147.54,147.18
2021-08-05 17:00:00+00:00,147.25,147.36,147.38,147.12
2021-08-05 18:00:00+00:00,147.36,147.06,147.46,147.04
2021-08-05 19:00:00+00:00,147.06,147.06,147.18,146.73
2021-08-05 20:00:00+00:00,147.06,146.96,147.1,146.0
2021-08-05 21:00:00+00:00,146.96,146.93,147.0,146.92
2021-08-05 22:00:00+00:00,146.93,146.94,146.97,146.91
2021-08-06 04:00:00+00:00,146.77,147.1,147.5,146.5
2021-08-06 05:00:00+00:00,147.17,147.18,147.18,147.05
2021-08-06 06:00:00+00:00,147.16,146.75,147.16,146.75
2021-08-06 07:00:00+00:00,146.77,146.63,146.83,146.5
2021-08-06 08:00:00+00:00,146.64,146.8,146.91,146.54
2021-08-06 09:00:00+00:00,146.79,146.75,146.82,146.58
2021-08-06 10:00:00+00:00,146.7,146.64,146.75,146.58
2021-08-06 11:00:00+00:00,146.62,146.67,146.84,146.6
2021-08-06 12:00:00+00:00,146.67,146.34,146.84,146.09
2021-08-06 13:00:00+00:00,146.34,146.58,146.86,145.9
2021-08-06 14:00:00+00:00,146.59,146.53,147.1,146.41
2021-08-06 15:00:00+00:00,146.54,146.29,146.7,145.97
2021-08-06 16:00:00+00:00,146.28,146.1,146.33,145.91
2021-08-06 17:00:00+00:00,146.11,145.94,146.23,145.72
2021-08-06 18:00:00+00:00,145.94,145.72,145.97,145.63
2021-08-06 19:00:00+00:00,145.71,146.14,146.16,145.67
2021-08-06 20:00:00+00:00,146.1,146.01,146.14,145.98
2021-08-06 21:00:00+00:00,146.0,145.94,146.01,145.91
2021-08-06 22:00:00+00:00,145.94,145.94,145.95,145.91
2021-08-09 04:00:00+00:00,146.0,145.69,146.8,144.3
2021-08-09 05:00:00+00:00,145.69,145.61,145.72,145.41
2021-08-09 06:00:00+00:00,145.61,145.85,146.0,145.61
2021-08-09 07:00:00+00:00,145.84,145.99,146.0,145.67
2021-08-09 08:00:00+00:00,145.93,146.0,146.12,145.82
2021-08-09 09:00:00+00:00,146.04,146.1,146.11,146.0
2021-08-09 10:00:00+00:00,146.1,146.0,146.12,145.99
2021-08-09 11:00:00+00:00,145.99,146.04,146.06,145.88
2021-08-09 12:00:00+00:00,146.03,146.16,146.26,145.94
2021-08-09 13:00:00+00:00,146.16,146.51,146.7,145.52
2021-08-09 14:00:00+00:00,146.51,146.06,146.69,145.95
2021-08-09 15:00:00+00:00,146.06,146.13,146.15,145.8
2021-08-09 16:00:00+00:00,146.13,145.86,146.15,145.78
2021-08-09 17:00:00+00:00,145.85,145.84,146.09,145.81
2021-08-09 18:00:00+00:00,145.84,146.04,146.13,145.78
2021-08-09 19:00:00+00:00,146.05,146.09,146.18,145.87
2021-08-09 20:00:00+00:00,146.08,146.04,146.18,146.0
2021-08-09 21:00:00+00:00,146.05,146.02,146.05,146.0
2021-08-09 22:00:00+00:00,146.03,146.05,146.05,146.01
2021-08-10 04:00:00+00:00,145.96,146.4,146.55,145.6
2021-08-10 05:00:00+00:00,146.4,146.5,146.5,146.26
2021-08-10 06:00:00+00:00,146.5,146.25,146.5,146.11
2021-08-10 07:00:00+00:00,146.24,145.95,146.26,145.85
2021-08-10 08:00:00+00:00,145.97,146.09,146.23,145.97
2021-08-10 09:00:00+00:00,146.09,146.08,146.12,146.05
2021-08-10 10:00:00+00:00,146.1,146.12,146.12,146.0
2021-08-10 11:00:00+00:00,146.12,146.57,146.7,146.12
2021-08-10 12:00:00+00:00,146.52,146.37,146.57,146.3
2021-08-10 13:00:00+00:00,146.36,147.43,147.71,146.18
2021-08-10 14:00:00+00:00,147.42,145.92,147.63,145.63
2021-08-10 15:00:00+00:00,145.92,145.61,145.96,145.4
2021-08-10 16:00:00+00:00,145.62,145.59,146.0,145.55
2021-08-10 17:00:00+00:00,145.6,145.66,145.75,145.5
2021-08-10 18:00:00+00:00,145.66,145.7,145.71,145.3
2021-08-10 19:00:00+00:00,145.7,145.61,145.73,145.3
2021-08-10 20:00:00+00:00,145.6,145.58,145.62,145.49
2021-08-10 21:00:00+00:00,145.58,145.64,145.68,145.58
2021-08-10 22:00:00+00:00,145.63,145.6,145.66,145.6
2021-08-11 04:00:00+00:00,145.98,145.98,145.98,145.02
2021-08-11 05:00:00+00:00,145.98,145.95,145.98,145.81
2021-08-11 06:00:00+00:00,145.96,145.55,145.96,145.5
2021-08-11 07:00:00+00:00,145.57,145.33,145.57,145.15
2021-08-11 08:00:00+00:00,145.39,145.35,145.42,145.19
2021-08-11 09:00:00+00:00,145.33,145.19,145.34,145.0
2021-08-11 10:00:00+00:00,145.21,145.35,145.35,145.16
2021-08-11 11:00:00+00:00,145.35,145.27,145.43,145.23
2021-08-11 12:00:00+00:00,145.27,146.03,146.2,145.27
2021-08-11 13:00:00+00:00,146.06,146.08,146.71,145.93
2021-08-11 14:00:00+00:00,146.06,145.62,146.43,145.57
2021-08-11 15:00:00+00:00,145.62,145.88,146.06,145.52
2021-08-11 16:00:00+00:00,145.88,146.31,146.46,145.87
2021-08-11 17:00:00+00:00,146.3,146.05,146.58,145.82
2021-08-11 18:00:00+00:00,146.04,145.97,146.12,145.81
2021-08-11 19:00:00+00:00,145.97,145.9,146.08,145.77
2021-08-11 20:00:00+00:00,145.89,145.73,145.92,145.66
2021-08-11 21:00:00+00:00,145.72,145.71,145.73,145.67
2021-08-11 22:00:00+00:00,145.71,145.69,145.79,145.66
2021-08-12 04:00:00+00:00,145.75,146.14,146.39,145.75
2021-08-12 05:00:00+00:00,146.15,146.05,146.15,145.71
2021-08-12 06:00:00+00:00,146.04,145.73,146.05,145.72
2021-08-12 07:00:00+00:00,145.73,145.7,146.6,145.41
2021-08-12 08:00:00+00:00,145.7,145.77,145.84,145.53
2021-08-12 09:00:00+00:00,145.77,145.72,145.85,145.7
2021-08-12 10:00:00+00:00,145.7,145.87,145.96,145.7
2021-08-12 11:00:00+00:00,145.87,146.03,146.1,145.85
2021-08-12 12:00:00+00:00,146.03,145.6,146.04,145.55
2021-08-12 13:00:00+00:00,145.61,147.06,147.43,145.57
2021-08-12 14:00:00+00:00,147.06,148.17,148.24,146.58
2021-08-12 15:00:00+00:00,148.16,148.03,148.53,148.02
2021-08-12 16:00:00+00:00,148.03,148.3,148.44,147.7
2021-08-12 17:00:00+00:00,148.3,148.33,148.44,148.07
2021-08-12 18:00:00+00:00,148.34,148.7,148.84,148.22
2021-08-12 19:00:00+00:00,148.71,148.89,149.05,148.57
2021-08-12 20:00:00+00:00,148.88,148.99,149.02,148.85
2021-08-12 21:00:00+00:00,148.99,148.91,149.01,148.89
2021-08-12 22:00:00+00:00,148.93,148.86,148.95,148.82
2021-08-13 04:00:00+00:00,148.6,148.61,149.03,148.55
2021-08-13 05:00:00+00:00,148.61,148.69,148.8,148.6
2021-08-13 06:00:00+00:00,148.7,148.84,148.84,148.6
2021-08-13 07:00:00+00:00,148.85,148.9,148.98,148.8
2021-08-13 08:00:00+00:00,148.89,149.23,149.35,148.81
2021-08-13 09:00:00+00:00,149.17,149.13,149.21,149.07
2021-08-13 10:00:00+00:00,149.13,149.13,149.18,149.03
2021-08-13 11:00:00+00:00,149.13,148.67,149.23,148.67
2021-08-13 12:00:00+00:00,148.65,148.97,149.01,148.61
